v0,theta_deg,hit
120.2586492,58.0471384,1
187.3193245,69.08627573,0
174.5951093,87.83300494,0
197.3606995,76.24892964,0
141.4053549,89.24083657,0
98.47832206,52.68989978,0
10.06848486,62.08418503,0
48.61671771,70.54879861,0
137.5314169,71.94343922,0
19.10224097,61.67815188,0
51.83745068,75.09439065,0
199.3097908,53.6351903,0
118.1667411,74.34597437,0
180.9202079,80.71131472,0
174.7355631,68.04396352,0
67.51443565,69.61497557,0
125.200631,70.9879032,0
19.02983749,61.88619912,0
82.4441907,86.4008349,0
136.7059558,50.8380325,0
57.06388188,87.96424487,0
84.83767426,63.84206653,0
100.3003438,65.27397925,0
36.8780685,75.54275453,0
153.7106023,73.30821244,0
173.1444796,50.72733775,0
155.1883764,65.45952765,0
155.6474286,83.00396556,0
34.28627941,73.34115241,0
71.59348811,82.13743741,0
77.62610268,62.15425909,1
195.6479768,77.89323072,0
89.17787439,82.94375603,0
59.96276045,56.15162207,0
25.57947857,72.90828744,0
115.4138363,55.98786838,0
158.2662724,85.86478788,0
142.1769646,55.12712743,0
64.73644064,66.09633038,0
80.31270875,89.60563577,0
190.1060677,71.42946553,0
20.20214937,85.19640131,0
80.06441706,58.40795746,1
81.58227619,88.51328765,0
151.5814757,81.86245652,0
166.5324494,76.55619078,0
173.5400142,55.51134652,0
17.54957583,58.17272913,0
199.8667836,67.83187214,0
169.8778476,65.33293918,0
49.14474057,83.50414575,0
27.62894272,64.73977882,0
192.7243094,68.56575231,0
119.8957112,84.83693274,0
167.7635666,85.30132598,0
30.07950629,54.2462416,0
55.90282266,73.82863087,0
105.9862213,65.54322822,0
110.7441352,72.06517988,0
182.6524109,69.43997186,0
29.37552361,52.38229355,0
118.7032491,79.98904455,0
104.8349831,64.08062812,0
186.1120776,88.59853053,0
12.44996385,74.69576627,0
46.74988913,64.37116195,1
95.19643976,86.79594474,0
23.81231026,52.44066598,0
167.8226714,72.40395902,0
110.9127411,66.08087508,0
39.30258929,71.114465,0
142.2225613,82.68680086,0
128.2706625,70.91130042,0
113.683819,56.12689332,0
71.1368077,89.30670633,0
149.7550796,85.26808182,0
161.3884052,56.44890289,1
92.21624693,75.59092625,0
36.49788699,83.19486186,0
79.02791599,85.38930343,0
94.29522952,56.65767602,0
147.0010985,64.04242041,0
125.8944204,68.65910534,0
190.7110151,70.07029538,0
114.7654159,56.75384637,0
137.4796407,86.06670255,0
193.8212669,87.97441957,0
147.7348062,74.49731153,0
77.31032439,76.68802467,0
185.1722709,67.69205673,0
144.0287445,82.72576978,0
14.05829107,81.47381719,0
114.0347151,61.63209343,1
86.27666942,80.01208595,0
79.32191972,65.49663311,0
192.7763044,88.51712323,0
186.8434866,50.1995104,0
55.04555144,66.02965564,0
181.0527313,53.94231993,0
105.1387735,75.34297799,0
181.1523641,54.15176656,0
84.70516526,55.37429066,0
131.802471,51.70962929,0
127.2083139,87.07800543,0
142.4147153,69.30749164,0
69.29298626,82.99294348,0
16.06188695,78.73249462,0
193.6334734,68.54848679,0
110.9025613,57.94739606,1
73.64885632,68.0433785,0
86.41599255,61.45672104,1
27.35851954,72.48261432,0
23.31772633,68.4823152,0
120.8577519,72.62885001,0
177.7609052,73.09656363,0
173.6058486,56.77326558,1
184.7849967,51.85679913,0
136.9011319,78.75767938,0
147.4939747,58.78394625,1
197.1216574,62.20500662,0
43.00673713,82.12146753,0
192.5492472,72.14401282,0
184.7180378,74.15091667,0
134.0954884,65.62074218,0
159.3089253,60.27756294,1
124.0034147,68.44938725,0
79.36877495,57.52743852,0
199.9416763,72.69428212,0
157.8643474,54.34245911,0
124.9222025,81.12182107,0
45.52775425,59.64675573,0
66.09346104,64.76661421,0
73.52938922,85.00271559,0
137.5587672,68.45603758,0
113.3225644,85.07046011,0
145.6388726,52.20152571,0
160.973382,71.39496958,0
189.8452184,50.90267102,0
48.18023672,52.51249862,0
39.1010856,89.40911433,0
74.15081347,73.77484343,0
27.25164891,61.41647043,0
93.63533004,86.3339006,0
101.0498445,60.78470399,1
122.7179138,85.79449164,0
140.6082752,78.98313936,0
138.6321629,63.52220698,0
166.6234845,81.71099863,0
98.56842616,61.79891126,1
93.4221054,55.22077037,0
139.1782437,62.8043438,0
28.74170338,85.52848633,0
20.8027474,84.30201131,0
126.8282146,53.76905711,0
72.80868806,53.66332828,0
73.01794446,88.3009673,1
114.8305657,76.75485905,0
90.50875767,81.35428733,0
182.3521925,59.71247115,1
124.0154042,89.37049022,0
37.75214965,65.88206062,1
125.4234265,59.37588628,1
43.86291708,58.69989138,0
53.89621651,52.55980368,0
128.1943637,73.88167108,0
105.5139003,75.70423955,0
75.54086186,83.31486775,0
43.66043987,71.63016544,0
26.87889112,62.68921651,0
56.5432742,68.95636931,0
199.3811115,80.56568815,0
28.3260777,72.08306022,0
161.5568214,84.3387644,0
64.65011743,68.76214664,0
32.15212936,62.8868801,0
56.98339482,69.919258,0
83.40003061,83.73715909,0
83.99863143,86.22798283,0
46.07974038,86.48312914,0
125.9012675,61.56443415,1
113.8777538,80.49081843,0
148.9754095,53.02556376,0
104.0808069,72.31119842,0
49.55548898,83.5881022,0
170.24328,76.95455635,0
151.8206652,51.46586581,0
23.30039677,82.95524257,0
151.2183047,53.18458955,0
69.65124449,81.0560579,0
124.6453633,86.53879903,0
175.9218603,70.07598546,0
64.29498038,69.49747233,0
19.81520132,75.58954784,0
37.77497359,52.86642331,0
109.4299436,87.15676574,0
167.0595194,75.86069971,0
102.8904294,59.86435228,1
148.2086371,62.60275911,0
111.545616,74.90351983,0
185.4189107,64.04586144,0
166.6058957,79.4612563,0
67.39698876,75.80546981,0
147.0748212,78.22444145,0
73.48317346,78.96353717,0
82.06708148,70.08864972,0
93.65810257,54.40342837,0
34.74855932,52.9542716,0
106.5048505,78.82654759,0
20.97659987,66.03796722,0
98.45682999,66.34845006,0
130.6563469,50.07933844,0
18.70447631,70.14666482,0
16.18463938,51.96004819,0
147.9579044,72.4029614,0
178.5218848,61.61606879,1
39.20370889,55.79214499,0
34.2221423,50.69845489,0
94.56641102,61.01494496,1
65.59947283,61.34011222,1
183.4627412,68.89158604,0
191.8424285,70.79526756,0
178.5999946,65.61949323,0
83.76711565,67.68492949,0
107.5522195,62.2963706,1
