num_1,num_2,num_3,num_4,num_5,nominal_1,nominal_2,ordinal_1,ordinal_2,ordinal_3
-1.624509618,0.918702117,0.630609389,-1.539836052,-0.734408223,C,X,Alto,Grande,Nivel_3
-0.201017278,-1.292062232,0.978301753,0.632147609,1.766616476,B,W,Medio,Mediano,Nivel_2
-1.503772604,1.160011719,0.912192633,-1.281619817,-0.561361136,C,W,Alto,Grande,Nivel_3
1.774451183,0.78093034,-0.023944774,0.889732227,-0.666494552,A,X,Bajo,Pequeño,Nivel_1
1.149928828,0.909106422,0.01813199,1.069456815,-0.893112098,A,X,Bajo,Pequeño,Nivel_1
-1.331238841,1.009107233,0.638978026,-1.302504281,-0.236932419,C,W,Alto,Grande,Nivel_3
-1.56917307,1.024549318,0.818904176,-1.460365577,-0.496824649,C,W,Alto,Grande,Nivel_3
0.850799759,1.007387741,-0.539711537,0.705951298,-0.611299713,A,X,Bajo,Pequeño,Nivel_1
0.118921462,-0.60721808,-1.488844228,-0.360401219,-0.320220663,A,X,Alto,Grande,Nivel_4
-0.00707522,-0.584155212,-1.548740697,-0.038214634,-0.214027044,A,W,Alto,Grande,Nivel_4
-1.116864716,1.011634257,1.096356099,-1.6248776,-0.640911183,C,Z,Alto,Grande,Nivel_3
-1.102927363,1.074844769,0.667302915,-1.333371449,-0.784018421,C,Z,Alto,Grande,Nivel_3
1.623130856,1.054020614,-0.312429904,1.066400809,-0.732816179,A,X,Bajo,Pequeño,Nivel_1
-0.843302488,0.880281478,0.820439371,-1.452000219,-0.746684485,C,Z,Alto,Grande,Nivel_3
-1.344290354,1.049449572,0.922774572,-1.44479059,-0.973244734,C,Y,Alto,Grande,Nivel_3
-0.00195871,-0.601446446,-1.499392757,0.12037432,-0.177016759,A,W,Alto,Grande,Nivel_4
1.443977052,0.928216677,-0.163331829,0.453165889,-0.936363616,A,Z,Bajo,Pequeño,Nivel_1
0.085572995,-0.645705245,-1.581608767,-0.4115463,-0.249962182,A,Z,Alto,Grande,Nivel_4
-1.509148509,0.935228031,0.784121463,-1.907859472,-0.562919901,C,W,Alto,Grande,Nivel_3
1.414063988,0.83475499,0.058974663,0.593572348,-0.52845494,A,X,Bajo,Pequeño,Nivel_1
-0.163800151,-1.191909745,1.023724781,0.896114561,1.531224648,B,X,Medio,Mediano,Nivel_2
1.255920419,0.875132348,0.429686813,0.92617098,-1.03359548,A,W,Bajo,Pequeño,Nivel_1
-0.088962154,-1.356356192,0.738235517,0.573889725,1.66201892,B,W,Medio,Mediano,Nivel_2
0.093903204,-0.593421126,-1.444903444,-0.268734219,-0.222851692,A,W,Alto,Grande,Nivel_4
-0.163173133,-0.658397331,-0.948902019,0.211635806,-0.121108201,A,W,Alto,Grande,Nivel_4
-1.120199979,1.013825546,0.277315471,-1.872432184,-0.501789736,C,W,Alto,Grande,Nivel_3
1.271719983,0.905798812,-0.307148399,0.783964,-0.734385086,A,W,Bajo,Pequeño,Nivel_1
-0.200501919,-0.721439927,-1.966138119,0.217169106,-0.423059594,A,Y,Alto,Grande,Nivel_4
1.129511617,1.07812994,-0.479201856,0.971845423,-0.413344964,A,Z,Bajo,Pequeño,Nivel_1
1.373161702,1.038711538,0.026847697,0.662458549,-0.742050788,A,X,Bajo,Pequeño,Nivel_1
-0.616976884,-1.402519967,0.679530095,0.786287395,1.729157292,B,Z,Medio,Mediano,Nivel_2
-1.229256498,1.001497822,0.989910067,-1.806103397,-0.624799594,C,W,Alto,Grande,Nivel_3
-0.838962639,-0.449811148,-1.603703652,0.056095575,-0.386405819,A,X,Alto,Grande,Nivel_4
-0.825079749,-0.542577153,-2.062874642,-0.313222799,-0.400740439,A,Z,Alto,Grande,Nivel_4
-0.38440359,-0.715364851,-1.471882572,-0.622252048,-0.1203622,A,X,Alto,Grande,Nivel_4
-0.367998276,-1.348863798,0.89961831,0.631213611,1.721887769,B,X,Medio,Mediano,Nivel_2
-0.420778513,-1.386446103,0.375273708,1.215592718,1.790881169,B,W,Medio,Mediano,Nivel_2
-0.590324436,-0.680396247,-1.759348997,-0.473740112,-0.250038598,A,W,Alto,Grande,Nivel_4
1.531811399,0.932444161,-0.319922821,0.444043517,-0.887242801,A,X,Bajo,Pequeño,Nivel_1
1.397897486,1.083139392,-0.152873052,1.507584997,-0.694557726,A,W,Bajo,Pequeño,Nivel_1
-1.17657749,0.984631199,0.700533058,-1.637199284,-0.79414948,C,X,Alto,Grande,Nivel_3
0.29215922,-1.231286468,0.822821562,1.048179448,1.275913455,B,Y,Medio,Mediano,Nivel_2
1.494919725,0.872496747,-0.010279804,0.898067165,-0.93537649,A,X,Bajo,Pequeño,Nivel_1
1.76274507,0.869767429,0.050431014,1.019001931,-0.973579705,A,Y,Bajo,Pequeño,Nivel_1
-0.788982042,-1.290161534,1.091600203,1.217178039,1.686598961,B,W,Medio,Mediano,Nivel_2
-1.552946538,0.925325749,0.651177811,-1.470946061,-0.821480555,C,Z,Alto,Grande,Nivel_3
-0.192209019,-0.628448222,-1.803357926,0.316509369,-0.412948077,A,Y,Alto,Grande,Nivel_4
-0.449160402,-0.698259927,-1.132989636,-0.0086863,-0.262178541,A,X,Alto,Grande,Nivel_4
1.498022714,1.08554441,-0.225649848,0.621430405,-0.897170522,A,Y,Bajo,Pequeño,Nivel_1
1.869093953,0.798439001,-0.203202224,0.857300687,-0.547982753,A,Z,Bajo,Pequeño,Nivel_1
-0.027870866,-1.232834253,1.769208974,1.121049797,1.650294716,B,Y,Medio,Mediano,Nivel_2
0.246285595,-0.852830984,-1.456307944,0.08610219,-0.416909418,A,X,Alto,Grande,Nivel_4
1.059211945,0.976726464,-0.249286272,0.751214573,-0.915132756,A,Z,Bajo,Pequeño,Nivel_1
1.376794371,0.619629605,-0.370885103,0.761040201,-1.031241101,A,W,Bajo,Pequeño,Nivel_1
-0.370029553,-1.263045752,0.899176095,0.726865335,1.785217384,B,Y,Medio,Mediano,Nivel_2
0.40404205,-0.670807577,-1.527611699,-0.265666451,-0.19672147,A,Y,Alto,Grande,Nivel_4
1.156739588,0.932022315,0.020969602,0.893953228,-0.658342703,A,Y,Bajo,Pequeño,Nivel_1
-1.033029912,1.092324012,0.979231331,-1.253843813,-0.574473386,C,X,Alto,Grande,Nivel_3
-0.003680156,-0.540211295,-1.407655784,-0.315275386,-0.060836954,A,W,Alto,Grande,Nivel_4
-0.19785804,-0.726919975,-1.306839925,-0.296273689,0.024714217,A,X,Alto,Grande,Nivel_4
-0.32928991,-1.347467148,1.123967398,0.624901772,1.686144549,B,Z,Medio,Mediano,Nivel_2
-0.315225808,-0.798166626,-1.10608853,-0.434900616,-0.3776873,A,W,Alto,Grande,Nivel_4
1.250666809,0.881447452,0.166874247,0.914125201,-0.931523116,A,Y,Bajo,Pequeño,Nivel_1
-1.96533843,0.981652588,0.577421853,-1.42610739,-0.358773565,C,Z,Alto,Grande,Nivel_3
-0.476392484,-1.195830756,1.189419632,0.39821747,1.460636256,B,Z,Medio,Mediano,Nivel_2
-0.016927633,-1.188776001,0.733462165,0.695284988,1.623852808,B,X,Medio,Mediano,Nivel_2
-1.46530573,1.027319131,0.155118021,-1.342493696,-0.606123071,C,W,Alto,Grande,Nivel_3
-0.334613622,-1.216274587,0.981442108,1.10044832,1.581626601,B,Z,Medio,Mediano,Nivel_2
0.058186925,-1.245462408,1.514079541,0.636902175,1.522374254,B,Y,Medio,Mediano,Nivel_2
-0.865416155,-1.413155699,1.277932259,1.252991916,1.628528159,B,W,Medio,Mediano,Nivel_2
-1.192139757,1.054296437,0.651816964,-1.59347332,-0.522433195,C,W,Alto,Grande,Nivel_3
-0.383762624,-1.370342855,1.369836055,1.061297039,1.67185038,B,W,Medio,Mediano,Nivel_2
-1.479313667,1.000140899,0.442784344,-1.300833421,-0.964791428,C,Y,Alto,Grande,Nivel_3
1.543973179,0.990359652,0.070870646,1.792005858,-0.704401835,A,W,Bajo,Pequeño,Nivel_1
0.016503003,-0.670506102,-1.287052701,0.332926738,-0.299709737,A,X,Alto,Grande,Nivel_4
-0.058448298,-1.077754365,1.271775764,1.239988109,1.581411075,B,W,Medio,Mediano,Nivel_2
-0.473662325,-1.422165176,0.944080407,0.649947783,1.417685717,B,Z,Medio,Mediano,Nivel_2
0.406534484,-0.600319051,-1.392976599,-0.007884235,-0.06313191,A,Y,Alto,Grande,Nivel_4
-1.57392756,0.890666716,0.946043364,-1.839368942,-0.217981751,C,Y,Alto,Grande,Nivel_3
-1.576305216,1.060689378,0.828918618,-1.057686907,-0.746366716,C,X,Alto,Grande,Nivel_3
1.592540905,0.909002325,0.016095415,0.791784868,-0.789566835,A,Y,Bajo,Pequeño,Nivel_1
1.66118289,1.14915132,0.219348587,0.442907719,-0.894021416,A,X,Bajo,Pequeño,Nivel_1
0.491912668,-0.710647672,-1.40037191,0.186737091,-0.267655403,A,Y,Alto,Grande,Nivel_4
