v0,theta_deg
157.4684733,55.97243017
59.28965295,61.16617388
27.82145719,73.1018885
96.27916112,59.92393772
136.6957862,87.98846623
44.40527818,70.45679853
99.56635829,60.2078985
89.03858655,79.91741894
77.0995497,89.44803314
45.30243467,75.06941955
127.1225948,72.9096868
106.0785937,57.53394118
161.5356431,62.88506662
79.43603643,57.20548007
22.07552119,72.838094
111.7211328,54.04534488
181.6107339,68.07745689
36.07089806,74.32347744
154.5567278,89.89704489
66.65001742,73.96773747
