v0,theta_deg,hit
157.4684733,55.97243017,0
59.28965295,61.16617388,1
27.82145719,73.1018885,0
96.27916112,59.92393772,1
136.6957862,87.98846623,0
44.40527818,70.45679853,0
99.56635829,60.2078985,1
89.03858655,79.91741894,0
77.0995497,89.44803314,0
45.30243467,75.06941955,0
127.1225948,72.9096868,0
106.0785937,57.53394118,1
161.5356431,62.88506662,0
79.43603643,57.20548007,0
22.07552119,72.838094,0
111.7211328,54.04534488,0
181.6107339,68.07745689,0
36.07089806,74.32347744,0
154.5567278,89.89704489,0
66.65001742,73.96773747,0
